problem_size,total_time,write_time,tree_construction_time,acceleration_calc_time,integration_time
73600,284,11,92,0,0,284
73728,295,12,92,0,0,295
73856,301,18,92,0,0,301
73984,287,13,92,0,0,287
74112,293,10,92,0,0,293
74240,298,10,93,0,0,298
74368,297,10,93,0,0,297
74496,295,10,93,0,0,295
74624,297,13,93,0,0,297
74752,286,10,93,0,0,286
74880,304,11,93,0,0,304
75008,297,10,93,0,0,297
75136,301,11,93,0,0,301
75264,300,10,93,0,0,300
75392,297,10,93,0,0,297
75520,292,8,93,0,0,292
75648,298,13,93,0,0,298
75776,297,11,93,0,0,297
75904,294,10,93,0,0,294
76032,301,15,93,0,0,301
76160,293,10,93,0,0,293
76288,306,10,93,0,0,306
76416,307,5,93,0,0,307
76544,305,10,93,0,0,305
76672,308,9,93,0,0,308
76800,302,13,93,0,0,302
76928,304,10,93,0,0,304
77056,295,11,93,0,0,295
77184,299,12,93,0,0,299
77312,294,10,93,0,0,294
77440,311,11,93,0,0,311
77568,306,11,93,0,0,306
77696,305,9,94,0,0,305
77824,296,9,93,0,0,296
77952,299,9,93,0,0,299
78080,314,13,93,0,0,314
78208,311,10,94,0,0,311
78336,305,10,95,0,0,305
78464,301,10,95,0,0,301
78592,298,10,93,0,0,298
78720,325,19,99,0,0,325
78848,307,11,99,0,0,307
78976,322,10,101,0,0,322
79104,305,10,98,0,0,305
79232,325,15,99,0,0,325
79360,330,24,99,0,0,330
79488,322,16,100,0,0,322
79616,308,10,100,0,0,308
79744,303,10,101,0,0,303
79872,318,10,101,0,0,318
80000,320,11,102,0,0,320
80128,318,10,100,0,0,318
80256,320,17,100,0,0,320
80384,311,10,102,0,0,311
80512,307,10,101,0,0,307
80640,309,10,102,0,0,309
80768,314,10,102,0,0,314
80896,322,10,102,0,0,322
81024,319,10,102,0,0,319
81152,326,10,102,0,0,326
81280,326,11,102,0,0,326
81408,320,10,102,0,0,320
81536,324,12,102,0,0,324
81664,326,12,102,0,0,326
81792,345,13,102,0,0,345
81920,327,10,102,0,0,327
82048,325,10,102,0,0,325
82176,318,10,102,0,0,318
82304,327,16,102,0,0,327
82432,320,10,102,0,0,320
82560,320,11,102,0,0,320
82688,337,11,104,0,0,337
82816,320,11,102,0,0,320
82944,344,20,102,0,0,344
83072,330,11,103,0,0,330
83200,349,27,103,0,0,349
83328,333,11,102,0,0,333
83456,331,10,103,0,0,331
83584,330,10,103,0,0,330
83712,327,11,104,0,0,327
83840,323,13,103,0,0,323
83968,328,13,103,0,0,328
84096,323,10,103,0,0,323
84224,327,10,103,0,0,327
84352,339,14,103,0,0,339
84480,337,11,104,0,0,337
84608,337,11,103,0,0,337
84736,341,13,109,0,0,341
84864,334,11,105,0,0,334
84992,333,10,106,0,0,333
85120,331,12,108,0,0,331
85248,335,10,109,0,0,335
85376,339,10,109,0,0,339
85504,343,10,111,0,0,343
85632,336,10,110,0,0,336
85760,342,13,111,0,0,342
85888,334,10,109,0,0,334
86016,342,19,109,0,0,342
86144,333,10,110,0,0,333
86272,329,10,109,0,0,329
86400,350,21,112,0,0,350
86528,349,20,112,0,0,349
86656,331,10,111,0,0,331
86784,347,10,112,0,0,347
86912,362,21,112,0,0,362
87040,354,12,112,0,0,354
87168,347,11,112,0,0,347
87296,348,10,112,0,0,348
87424,357,19,112,0,0,357
87552,335,10,111,0,0,335
87680,339,10,113,1,0,339
87808,350,15,112,0,0,350
87936,343,11,113,0,0,343
88064,336,10,113,0,0,336
88192,354,10,112,0,0,354
88320,353,10,112,0,0,353
88448,355,10,113,0,0,355
88576,355,11,113,0,0,355
88704,357,10,113,0,0,357
88832,371,14,113,0,0,371
88960,361,14,113,0,0,361
89088,359,10,114,0,0,359
89216,361,15,113,0,0,361
89344,358,11,114,0,0,358
89472,354,10,114,0,0,354
89600,347,10,113,0,0,347
89728,346,10,114,0,0,346
89856,357,16,113,0,0,357
89984,352,10,113,0,0,352
90112,366,10,114,0,0,366
90240,363,10,118,0,0,363
90368,365,11,115,0,0,365
90496,359,11,115,0,0,359
90624,366,13,118,0,0,366
90752,372,14,115,0,0,372
90880,359,12,116,0,0,359
91008,349,10,114,0,0,349
91136,385,23,117,0,0,385
91264,368,10,120,0,0,368
91392,371,11,120,0,0,371
91520,371,10,121,0,0,371
91648,370,10,120,0,0,370
91776,369,12,120,0,0,369
91904,365,10,121,0,0,365
92032,367,11,122,0,0,367
92160,361,10,121,0,0,361
92288,362,11,122,0,0,362
92416,373,11,122,0,0,373
92544,374,10,122,0,0,374
92672,376,11,122,0,0,376
92800,375,11,121,0,0,375
92928,379,10,122,0,0,379
93056,374,10,122,0,0,374
93184,375,15,122,0,0,375
93312,368,10,122,0,0,368
93440,370,11,123,0,0,370
93568,365,10,123,0,0,365
93696,378,11,123,0,0,378
93824,376,11,123,0,0,376
93952,382,12,123,0,0,382
94080,381,11,123,0,0,381
94208,384,11,123,0,0,384
94336,382,12,123,0,0,382
94464,392,20,123,0,0,392
94592,375,10,123,0,0,375
94720,384,20,123,0,0,384
94848,369,10,123,0,0,369
94976,395,20,123,0,0,395
95104,382,10,123,0,0,382
95232,389,13,123,0,0,389
95360,386,11,123,0,0,386
95488,392,11,123,0,0,392
95616,386,10,125,0,0,386
95744,401,11,126,0,0,401
