total_energy, kinetic_energy, potential_energy
-32922.7,19256.4,-52179.1
-32945.5,19286.4,-52231.9
-32981.8,19348.7,-52330.5
-32950.5,19446.9,-52397.4
-33068.3,19593.9,-52662.3
-33240.4,19760.3,-53000.7
-33379.6,19953.2,-53332.8
-33389.5,20108.8,-53498.4
-33349.3,20142.3,-53491.6
-33194.1,20072.5,-53266.6
-33008.7,19919.4,-52928
-32909.9,19742.8,-52652.7
-32848.3,19594.9,-52443.2
-32690.9,19445.7,-52136.6
-32711.4,19323.7,-52035.1
-32806.2,19250.5,-52056.7
-32874.5,19200,-52074.5
-32912.6,19159.1,-52071.7
-32872.5,19107.5,-51980
-32895.5,19044.4,-51939.9
-32934.3,18990.7,-51924.9
-32850,18924.6,-51774.6
-32814.4,18845.3,-51659.8
-32781.2,18749.4,-51530.6
-32818.4,18637.8,-51456.2
-32767.8,18541,-51308.8
-32714.1,18430.6,-51144.7
-32676.6,18311.8,-50988.4
-32558.7,18207.5,-50766.2
-32615.5,18138,-50753.5
-32695.8,18084,-50779.8
-32605.6,18061.5,-50667.1
-32512.8,18037.1,-50549.9
-32464.7,18040.1,-50504.8
-32511.7,18109.1,-50620.8
-32598.6,18248.6,-50847.1
-32661.6,18407.5,-51069.1
-32743.7,18619.4,-51363.1
-32780.6,18843.1,-51623.7
-32848.4,19063.5,-51912
-33022.7,19283.2,-52305.9
-33045.8,19488.3,-52534.1
-33060.5,19659.1,-52719.6
-32995.2,19785.1,-52780.3
-32959.1,19843.9,-52803
-32937,19878.6,-52815.6
-33011,19895.6,-52906.5
-32977.1,19915.8,-52892.9
-32965.1,19927.6,-52892.7
-32858.3,19921.8,-52780.1
-32851.5,19877.1,-52728.6
-32842.6,19812.5,-52655.1
-32756.2,19737.2,-52493.4
-32822.3,19679.5,-52501.9
-32969.7,19666.1,-52635.9
-32976.4,19682.3,-52658.7
-32976.5,19717.1,-52693.6
-33044.5,19742.6,-52787.1
-32953.8,19743.8,-52697.6
-32888.8,19732.9,-52621.7
-32878.2,19714.6,-52592.7
-32831.9,19654.8,-52486.8
-32720.4,19579.1,-52299.6
-32717.8,19507.1,-52224.9
-32588,19410,-51998
-32617.2,19283.7,-51900.9
-32630.5,19186,-51816.5
-32524.4,19120.7,-51645.2
-32460.5,19092.1,-51552.6
-32430.1,19059.3,-51489.4
-32357.7,19006.5,-51364.2
-32355.1,18973.4,-51328.5
-32373.1,18978.2,-51351.4
-32221,18996.7,-51217.6
-32211.4,19023.7,-51235.1
-32250.6,19051.2,-51301.8
-32361.9,19089.5,-51451.4
-32311.9,19167.5,-51479.4
-32381.1,19288.6,-51669.7
-32551.7,19417.8,-51969.6
-32659.7,19544.5,-52204.2
-32786.2,19631.3,-52417.5
-32728.1,19685.7,-52413.8
-32764.1,19685.5,-52449.6
-32755.6,19664.9,-52420.5
-32745.8,19590.9,-52336.7
-32698.4,19450,-52148.4
-32551.2,19277.8,-51829
-32364.4,19088.3,-51452.6
-32241.9,18905,-51146.9
-32262.8,18744.2,-51007
-32187.8,18593.3,-50781.1
-32110.5,18454.9,-50565.4
-32083.1,18346,-50429
-32120,18272.6,-50392.6
-32184.6,18223,-50407.6
